[2024-12-10 16:45:39] ERROR: Undefined array key "get" {"severity":2,"message":"Undefined array key \"get\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\novalite-project\\vendor\\novalite\\framework\\Routing\\Router.php","line":201}
[2024-12-10 16:45:39] ERROR: foreach() argument must be of type array|object, null given {"severity":2,"message":"foreach() argument must be of type array|object, null given","file":"C:\\Users\\marko\\OneDrive\\Desktop\\novalite-project\\vendor\\novalite\\framework\\Routing\\Router.php","line":201}
[2024-12-10 16:46:20] ERROR: file_put_contents(app/Models/User.php): Failed to open stream: No such file or directory {"severity":2,"message":"file_put_contents(app\/Models\/User.php): Failed to open stream: No such file or directory","file":"C:\\Users\\marko\\OneDrive\\Desktop\\novalite-project\\vendor\\novalite\\framework\\CLI\\Commands\\Make\\ModelCommand.php","line":31}
[2025-03-03 17:01:46] ERROR: Undefined array key "REQUEST_SCHEME" {"severity":2,"message":"Undefined array key \"REQUEST_SCHEME\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\Z\\helpers.php","line":31}
[2025-03-03 17:01:47] ERROR: Undefined array key "REQUEST_SCHEME" {"severity":2,"message":"Undefined array key \"REQUEST_SCHEME\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\Z\\helpers.php","line":31}
[2025-03-03 17:01:49] ERROR: Undefined array key "REQUEST_SCHEME" {"severity":2,"message":"Undefined array key \"REQUEST_SCHEME\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\Z\\helpers.php","line":31}
[2025-03-03 17:02:01] ERROR: Undefined array key "REQUEST_SCHEME" {"severity":2,"message":"Undefined array key \"REQUEST_SCHEME\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\Z\\helpers.php","line":31}
[2025-03-03 17:04:10] ERROR: Undefined array key "REQUEST_SCHEME" {"severity":2,"message":"Undefined array key \"REQUEST_SCHEME\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\Z\\helpers.php","line":31}
[2025-03-03 17:04:20] ERROR: Undefined array key "REQUEST_SCHEME" {"severity":2,"message":"Undefined array key \"REQUEST_SCHEME\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\Z\\helpers.php","line":31}
[2025-03-03 17:04:21] ERROR: Undefined array key "REQUEST_SCHEME" {"severity":2,"message":"Undefined array key \"REQUEST_SCHEME\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\Z\\helpers.php","line":31}
[2025-03-03 17:11:01] ERROR: Undefined array key "REQUEST_SCHEME" {"severity":2,"message":"Undefined array key \"REQUEST_SCHEME\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\Z\\helpers.php","line":31}
[2025-03-03 17:11:24] ERROR: Undefined array key "REQUEST_SCHEME" {"severity":2,"message":"Undefined array key \"REQUEST_SCHEME\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\Z\\helpers.php","line":31}
[2025-03-03 17:11:51] ERROR: Undefined array key "REQUEST_SCHEME" {"severity":2,"message":"Undefined array key \"REQUEST_SCHEME\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\Z\\helpers.php","line":31}
[2025-03-03 17:12:26] ERROR: Undefined array key "REQUEST_SCHEME" {"severity":2,"message":"Undefined array key \"REQUEST_SCHEME\"","file":"C:\\Users\\marko\\OneDrive\\Desktop\\Z\\helpers.php","line":31}
